,SSB_Include,CSB_Include,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,Sim 1 Dropout X Disp.,Sim 1 Dropout Y Disp.,Sim 1 Bottom Bracket X Disp.,Sim 1 Bottom Bracket Y Disp.,Sim 2 Bottom Bracket Z Disp.,Sim 3 Bottom Bracket Y Disp.,Sim 3 Bottom Bracket X Rot.,Sim 1 Safety Factor,Sim 3 Safety Factor,Model Mass,batch
1,0,0,Steel,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.03845,0.02335,0.013,0.034,0.015,0.05,0.0287,0.04,73.0,0.1356,0.5887,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.004851,0.001494,0.002192,0.001248,0.004916,0.00208,0.001295,0.664021,0.018,-0.0361,0.0216,-0.0186,0.00162,-0.006495000000000001,0.0034999999999999996,0.349,1.04,4.73,1_1
2,0,0,Aluminum,0.35,-0.0145,0.5656,0.045,71.49997621217057,0.04,0.0292,0.045,0.0365,0.022,0.0185,0.0318,0.015,0.0231,0.0391,0.0233,71.5,0.08,0.265,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.008,0.000591,0.008614,0.000538,0.003519,0.001257,0.000895,0.002477,0.572492,-0.01313,0.01595,-0.01265,0.007035,0.001668,-0.004934,0.005371428571428565,0.62,0.7697,1.36,3_2
4,0,0,Steel,0.375,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.0339,0.019,0.0291,70.5,0.0918,0.46,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.008779,0.001868,0.002585,0.003423,0.001143,0.002562,0.001762,0.573904,-0.00534,0.00762,-0.00596,0.00338,0.00172,-0.00219,0.003999999999999999,0.746,1.21,2.76,1_1
5,0,0,Steel,0.43179,0.024,0.5656,0.041,72.5,0.04,0.0292,0.05,0.0365,0.022,0.016,0.0318,0.015,0.0543,0.0364,0.0202,72.1,0.0831,0.3,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.008,0.000789,0.007232,0.00253,0.005867,0.006491,0.00073191,0.007557,0.636179,-0.00306,0.00508,-0.00324,0.00221,0.00062,-0.001555,0.0015000000000000007,0.975,1.86,7.59,1_1
7,0,0,Aluminum,0.425,0.029863,0.5656,0.065,72.03483231392518,0.0375,0.0302,0.04,0.04345,0.025,0.0185,0.035,0.015,0.05,0.05,0.0285,69.53484,0.165,0.535,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.000665,0.001475,0.00151,0.005078,0.005528,0.00923,0.00057349,0.688292,-0.01813,0.03805,-0.01921,0.02243,0.003653,-0.030645,0.011214285714285703,0.5268,0.3899,2.34,3_2
8,0,0,Aluminum,0.425,0.043,0.5656,0.077,72.99997971982306,0.035,0.042,0.045,0.04495,0.02335,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.1236,0.52,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.002251,0.001999,0.007954,0.00092491,0.00407,0.001763,0.009342,0.703869,-0.002776,0.006523,-0.003392,0.003437,0.00199,-0.0038215,0.005578571428571425,1.321,1.061,4.39,3_2
9,0,0,Steel,0.45,0.0735,0.5656,0.04,74.0,0.0381,0.0286,0.0318,0.034,0.01735,0.0105,0.0286,0.015,0.0391,0.0344,0.0281,73.0,0.15,0.5244,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.00188,0.007086,0.005928,0.006059,0.00131,0.00054149,0.001165,0.660729,0.0179,-0.038,0.0213,-0.0207,0.00209,-0.00733,0.0051428571428571435,0.343,0.962,5.3,1_1
10,0,0,Titanium,0.443,0.041,0.5656,0.055,72.99997971982306,0.04,0.0327,0.04,0.0365,0.022,0.017,0.0318,0.015,0.0681,0.0742,0.0259,72.0,0.105,0.457,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.008,0.002406,0.005394,0.001249,0.008172,0.001664,0.002506,0.001871,0.673902,-0.01259,0.02268,-0.01361,0.01122,0.001959,-0.009882,0.004257142857142852,1.644,1.777,3.34,3_1
12,0,0,Titanium,0.444,0.0575,0.5656,0.055,72.99997971982306,0.04,0.03015,0.05,0.0365,0.022,0.017,0.0318,0.015,0.05,0.0709,0.0242,71.0,0.1054,0.457,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.008,0.000863,0.001686,0.006727,0.00984,0.00052626,0.00086,0.002438,0.673723,0.02342,-0.04357,0.02684,-0.02162,0.002407,-0.0071319999999999995,0.005742857142857142,0.9181,2.722,3.08,3_1
13,0,0,Steel,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.03845,0.02335,0.013,0.034,0.015,0.05,0.0287,0.05,73.0,0.1502,0.5887,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.001637,0.002162,0.006553,0.00263,0.001711,0.007217,0.009445,0.658442,0.00614,-0.0129,0.00744,-0.00665,0.000697,-0.00233,0.001571428571428569,0.709,1.93,9.1,1_1
14,0,0,Aluminum,0.40943,0.072,0.5656,0.045,73.49999998763374,0.04,0.0286,0.045,0.05105,0.02335,0.013,0.0334,0.015,0.0512,0.0286,0.0332,72.5,0.1677,0.61,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.00132,0.00073,0.009833,0.002648,0.004259,0.001345,0.007919,0.672092,0.009557,-0.02175,0.01207,-0.01188,0.001654,-0.004371,0.0025714285714285717,0.585,1.562,3.64,3_2
15,0,0,Steel,0.38757,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0286,0.034,0.01735,0.0105,0.0286,0.015,0.035,0.019,0.0285,72.0,0.049,0.48,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.001295,0.006996,0.001297,0.006196,0.00090121,0.00076335,0.005237,0.584584,-0.00435,0.00563,-0.00488,0.00191,0.00108,-0.0007435,0.002164285714285714,0.746,1.54,4.57,1_1
16,0,0,Titanium,0.425,0.02,0.5656,0.045,71.99999647998123,0.03,0.0277,0.04,0.0365,0.02335,0.0185,0.03,0.015,0.04,0.05,0.04,68.0,0.136,0.48,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.004572,0.000502,0.001935,0.007302,0.009754,0.002569,0.005065,0.658206,-0.00651,0.01288,-0.006971,0.006901,0.002357,-0.0078275,0.00662142857142857,2.775,2.341,4.2,3_1
18,0,0,Steel,0.45,0.055,0.5656,0.045,74.5,0.04,0.0292,0.045,0.0365,0.022,0.017,0.0318,0.015,0.0509,0.0504,0.0268,70.5,0.111,0.4826,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.008,0.004194,0.002596,0.004941,0.001356,0.009913,0.005458,0.001309,0.706265,0.0211,-0.0417,0.0245,-0.0216,0.0017,-0.00757,0.0037142857142857173,0.329,0.916,6.4,1_1
19,0,0,Titanium,0.4,0.0705,0.5656,0.38,75.0,0.09,0.0275,0.055,0.0365,0.046,0.013,0.0318,0.015,0.0442,0.265,0.0201,75.0,0.125,0.69,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.00947,0.000628,0.001101,0.002606,0.0008401,0.00094232,0.00051616,0.669656,0.0896,-0.172,0.112,-0.0878,0.00177,-0.03175,0.004999999999999994,0.294,0.816,2.59,1_1
